plan,scenario,direction,condition,quality,entry,stop,target,first_target,risk_points,target_R,first_target_R,stop_correct_side,target_correct_side,off_tick_trade_price,target_in_chain_half_tick,confirm_rule,confirm_side,confirm2_rule,confirm2_side,arm_legs,trigger,invalidation
2026-09-02:NY:v6,S2,long,hold,A,,,,29171.25,,,,,,,,1x5m_close,above,,,0,Pullback to 29153.35 VWAP+1σ stabilizes; 1x5m close above 29153.35.,5m close below 29102.00 OR-H voids the dip-buy.
2026-09-02:NY:v6,S3,long,breakout_retest,C,,,,29246.25,,,,,,,,touch,above,,,0,Break above 29209.25 Supply·1h while 29171.25 ONH holds as support; retest of 29209.25 holds.,5m close back below 29171.25 ONH voids the break.
2026-09-02:NY:v6,S4,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1x5m_close,above,0,Sweep below 29001.75 RTH-L (wick through 29001.75) then 5m close back above 29001.75.,5m close below 28927.25 ONL voids the reclaim and opens the bear leg.
2026-09-02:NY:v7,S1,long,sweep_reclaim,B,,,,29209.25,,,,,,,,1x5m_close,above,,,0,Price sweeps below ONH 29171.25 and prints a 5m close back above 29171.25 (reclaim close); invalid if 5m close below 29158.47 VWAP+1σ.,5m close below 29158.47 VWAP+1σ
2026-09-02:NY:v7,S2,long,reclaim,B,,,,29209.25,,,,,,,,1x5m_close,above,,,0,Dip touches 29158.47 VWAP+1σ and price prints a 5m close back above 29158.47; invalid if 5m close below 29102.00 OR-H.,5m close below 29102.00 OR-H
2026-09-02:NY:v7,S3,long,breakout_retest,B,,,,29246.25,,,,,,,,touch,above,,,0,"Break above 29209.25 Supply·1h (15m LH 29208.50) with a 5m close, then retest touch of 29209.25 holds; invalid if 5m close back below 29171.25 ONH.",5m close back below 29171.25 ONH
2026-09-02:NY:v7,S4,short,reject,B,29317.25,29348,29246.25,29246.25,30.75,2.3089430894308944,2.3089430894308944,True,True,False,True,touch,below,,,0,First touch of 29317.25 RTH-H fails and 5m close prints back below 29317.25; invalid if 5m close above 29317.25.,5m close above 29317.25
2026-09-02:NY:v8,S1,long,reclaim,B,,,,29209.25,,,,,,,,1x5m_close,above,,,0,Price reclaims VWAP+1σ 29161.16 with a 1x5m close above,1x5m close below 29138.00 invalidates the reclaim
2026-09-02:NY:v8,S2,long,reject,B,29058.75,29032,29161.16,29161.16,26.75,3.8284112149532654,3.8284112149532654,True,True,True,True,touch,above,,,0,Price touches PDC 29058.75 and rejects,1x5m close below 29042.75 (OR-L) invalidates the long reject
2026-09-02:NY:v9,S1,long,sweep_reclaim,C,,,,29163.03,,,,,,,,touch,below,1m_mss,above,0,"After 13:30 CT, a 5m push below 29058.75 sweeps toward 29042.75 and a 1m_mss closes back above 29058.75.",2x5m close below 29042.75 kills S1.
2026-09-02:NY:v9,S2,long,breakout_retest,C,,,,29209.25,,,,,,,,touch,above,,,0,"1x5m close above 29171.25 ONH, then a pullback retest holds 29171.25.",1x5m close back below 29163.03 invalidates the breakout.
2026-09-02:NY:v9,S3,short,reject,B,29317.25,29344.75,29246.25,29246.25,27.5,2.581818181818182,2.581818181818182,True,True,False,True,touch,below,,,0,First touch of 29317.25 RTH-H stalls/rejects; stop above 29344.75; enter short only on touch.,1x5m close above 29344.75 invalidates the short.
2026-09-02:NY:v10,S1,long,reject,B,29163.99,29138.75,29246.25,29171.25,25.2400000000016,3.2591125198095554,0.28763866877963307,True,True,True,True,touch,below,,,0,Price pulls back to 29163.99 VWAP+1σ after 13:30 and attempts a 5m reversal from the band.,A 5m close below 29138.75 voids the long (structure stop).
2026-09-02:NY:v10,S2,long,sweep_reclaim,B,,,,29042.75,,,,,,,,touch,below,1x5m_close,above,0,Price sweeps 29001.75 RTH-L and then prints a 5m close back above it.,A 5m close below 29001.75 before the reclaim close voids the long.
2026-09-02:NY:v10,S3,short,reject,B,29317.25,29342.5,29246.25,29246.25,25.25,2.8118811881188117,2.8118811881188117,True,True,False,True,touch,above,,,0,A rally into 29317.25 RTH-H after 13:30 pokes above and rejects; this is the allowed premium short.,A 5m close above 29342.50 voids the short.
2026-09-02:NY:v10,S4,short,reject,B,29058.75,29086.75,28927.25,28927.25,28.0,4.696428571428571,4.696428571428571,True,True,False,True,touch,below,,,0,Price pulls back to 29058.75 PDC and rejects back down; 29058.75 is the entry.,A 5m close above 29086.75 voids the short.
2026-09-02:NY:v11,S1,long,reclaim,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,"1x5m close above 29165.06 VWAP+1σ reclaims the magnet; long for 29171.25 ONH first, then 29209.25 Supply·1h and 29246.25 OB(bull)·4h.",5m close below 29135.50 (recent 5m HL) voids the reclaim and re-opens the 15m downtrend.
2026-09-02:NY:v11,S2,long,reject,B,29001.75,28972.75,29102,29102,29.0,3.456896551724138,3.456896551724138,True,True,False,True,touch,above,,,0,"Clean retest of RTH-L 29001.75; limit long with structure stop 28972.75, target 29102.00 OR-H.",5m close below 28972.75 voids the fade; next downside liquid pool is ONL 28927.25.
2026-09-02:NY:v11,S3,long,sweep_reclaim,B,,,,29001.75,,,,,,,,1x5m_close,above,,,0,Sweep of ONL 28927.25 followed by a 5m close back above 28927.25 (wick alone is not enough); long the reclaim.,A subsequent 5m close below 28927.25 voids the reclaim and is plan death; liquidation targets 28711.25 OB(bear)·4h.
2026-09-02:NY:v11,S4,short,reject,B,29317.25,29345.25,29246.25,29246.25,28.0,2.5357142857142856,2.5357142857142856,True,True,False,True,touch,below,,,0,"Stretched rally to RTH-H 29317.25 above the 50% mark; first-touch rejection short with structure stop 29345.25, target 29246.25.",5m close above 29345.25 voids the rejection; extension targets 29450.50 PDH.
2026-09-02:NY:v12,S1,long,sweep_reclaim,B,,,,29058.75,,,,,,,,1x5m_close,above,,,0,"Sweep of VWAP−1σ 29050.13 toward OR-L 29042.75, then a 5m close back above 29050.13",5m close below 29042.75 before reclaim
2026-09-02:NY:v12,S2,long,reclaim,B,,,,29154.38,,,,,,,,1x5m_close,above,,,0,Price loses VWAP 29108.47 and a 5m close returns above 29108.47,5m close below 29102.00 before reclaim
2026-09-02:NY:v12,S3,short,reject,B,29166.8,29199.5,29058.75,29108.47,32.70000000000073,3.3042813455656534,1.783792048929566,True,True,True,True,touch,below,,,0,Rally to VWAP+1σ 29166.80 and failure to accept; enter short below 29166.80,5m close above 29199.50 invalidates the fade
2026-09-02:ASIA:v1,S1,long,reclaim,A,,,,29171.25,,,,,,,,1x5m_close,above,,,0,"Price pulls back to 29113.89 VWAP and prints a 5m close back above 29113.89, reclaiming the mean after the 29212.50 sweep-up failed.",5m close below 29102.00 OR-H
2026-09-02:ASIA:v1,S2,long,sweep_reclaim,B,,,,29113.89,,,,,,,,touch,below,1x5m_close,above,0,"Price sweeps below 29042.75 OR-L to collect stops, then prints a 1m MSS up and a 5m close back above 29042.75.",5m close below 29004.50 iFVG(bear)·4h (HTF)
2026-09-02:ASIA:v1,S3,long,breakout_retest,C,,,,29209.25,,,,,,,,touch,above,,,0,"Price breaks above 29171.25 ONH, pulls back, and holds the 29171.25 retest as support.",5m close below 29139.50
2026-09-02:ASIA:v1,S4,short,sweep_reclaim,A,,,,29209.25,,,,,,,,touch,above,1x5m_close,below,0,"Price rallies above 29317.25 PDH, sweeps the high, then prints a 5m close back below 29317.25.",2x5m close above 29346.88 FVG·4h (HTF)
2026-09-02:ASIA:v2,S1,short,sweep_reclaim,B,,,,29175.56,,,,,,,,touch,above,1m_mss,below,0,Price sweeps above 29189.25 ONH (the draw) and delivers a 1m_mss close back below 29189.25; premium short allowed by branch 5.,A 1m or 5m close above 29189.25 after the reclaim negates the setup; stop beyond the sweep extreme.
2026-09-02:ASIA:v2,S2,long,sweep_reclaim,B,,,,29175.56,,,,,,,,touch,below,1m_mss,above,0,Price sweeps below 29149.00 ONL and reclaims with a 1m_mss close back above 29149.00; discount long only per branch 5.,A 1m or 5m close below 29149.00 after the reclaim invalidates the setup; stop beyond the sweep low.
2026-09-02:ASIA:v3,S1,short,sweep_reclaim,B,,,,29199.68,,,,,,,,touch,above,1x5m_close,below,0,"Sweep of ONH 29208.75 / Supply 29209.25 (wick above 29208.75), then 5m close back below 29208.75",5m close back above 29212.50
2026-09-02:ASIA:v3,S2,long,sweep_reclaim,B,,,,29199.68,,,,,,,,touch,below,1x5m_close,above,0,"Sweep below ONL 29149.00, then 5m close back above 29149.00",5m close back below 29136.25
2026-09-02:ASIA:v3,S3,short,reject,B,29199.68,29216.25,29149,29149,16.56999999999971,3.058539529269836,3.058539529269836,True,True,True,True,touch,below,,,0,Touch of VWAP+1σ 29199.68 rejects and rotates back below 29199.68,5m close above 29208.75
2026-09-02:ASIA:v4,S1,short,reject,B,29208.75,29228.75,29149,29149,20.0,2.9875,2.9875,True,True,False,True,touch,below,,,0,"After the 16:00 1h sweep-up, a retest of ONH 29208.75 into Supply·1h 29209.25 that wicks and rejects on touch is a short.",5m close above 29208.75 voids the rejection
2026-09-02:ASIA:v4,S2,long,sweep_reclaim,B,,,,29183.59,,,,,,,,touch,below,1x5m_close,above,0,"A sweep below 29149.00 ONL into/near 29136.25 Demand·4h, then a 5m close back above 29149.00, confirms the reclaim and starts a long.",5m close below 29136.25 through Demand·4h invalidates the reclaim
2026-09-02:ASIA:v4,S3,short,reject,B,29149,29170,29058.75,29058.75,21,4.2976190476190474,4.2976190476190474,True,True,False,True,touch,below,,,0,"A retest of 29149.00 ONL from below that wicks and rejects on touch is a short; the close back above 29149.00 voided the prior break attempt, so this is a fresh reject rather than a continuation.",5m close above 29149.00 voids the rejection
2026-09-02:ASIA:v5,S1,short,reject,B,29197.57,29212.5,29149,29149,14.930000000000291,3.253181513730661,3.253181513730661,True,True,True,True,touch,below,,,0,Touch of 29197.57 VWAP+1σ in the thin Asia tape; first-touch fade from the top of value.,5m close above 29209.25 Supply·1h cancels the fade
2026-09-02:ASIA:v5,S2,long,sweep_reclaim,B,,,,29197.57,,,,,,,,touch,above,1x5m_close,above,0,Sweep below 29149.00 ONL followed by a 5m close back above 29149.00.,5m close below 29136.25 Demand·4h kills the reclaim
2026-09-02:ASIA:v5,S3,long,breakout_retest,C,,,,29317.25,,,,,,,,1x5m_close,above,touch,above,0,Break and 5m close above 29208.75 ONH; retest of 29208.75 holds as support.,5m close back below 29209.25 Supply·1h negates the break
2026-09-02:ASIA:v5,S4,short,reject,C,,,,29136.25,,,,,,,,touch,below,,,0,Touch of 29149.00 ONL from below after the close back across the level; rejection back down triggers the short instead of a breakdown continuation.,5m close back above 29149.00 ONL aborts the reject
2026-09-02:ASIA:v6,S1,long,sweep_reclaim,B,,,,29181.64,,,,,,,,1m_mss,above,,,0,Sweep of 29149.00 ONL wicks below; a 1m MSS or close back above 29149.00 invites a long on the reclaim.,A 2x5m close below 29136.25 nullifies the long.
2026-09-02:ASIA:v6,S2,short,reject,B,29209.25,29223,29181.64,29181.64,13.75,2.008000000000042,2.008000000000042,True,True,True,True,touch,below,,,0,"Rally into the 29208.75 ONH liquidity pool, which coincides with 29209.25 Supply·1h; first-touch sell at 29209.25 with stop beyond 29212.50/29223.00 structure.",Any 5m close above 29212.50 voids the fade.
2026-09-02:ASIA:v6,S3,short,reject,C,,,,29209.25,,,,,,,,touch,below,,,0,Rally stalls at the 29317.25 PDH react zone; first-touch sell at 29317.25 with stop beyond 29324.50.,A 5m close above 29324.50 cancels the fade.
2026-09-02:ASIA:v7,S1,short,reject,B,29218.25,29232,29149,29149,13.75,5.036363636363636,5.036363636363636,True,True,False,True,touch,above,,,0,Price retests 29218.25 ONH after the 18:45 sweep-reclaim and rejects; enter short on touch at 29218.25.,5m close above 29218.25 cancels the short.
2026-09-02:ASIA:v7,S2,long,sweep_reclaim,C,,,,29218.25,,,,,,,,touch,below,1m_mss,above,0,"Price sweeps 29149.00 ONL, then closes back above it; on the 1m MSS above 29149.00, enter long with stop below the sweep extreme.",5m close below 29136.25 or failure to produce 1m MSS above 29149.00.
2026-09-02:ASIA:v8,S1,short,reject,B,29157.03,29175.66,29102,29141.25,18.63000000000102,2.9538378958666573,0.8470209339773469,True,True,True,True,touch,below,,,0,price touches 29157.03 VWAP−1σ and rejects,5m close above 29167.00
2026-09-02:ASIA:v8,S2,short,reject,B,29141.25,29157.03,29102,29136.25,15.779999999998836,2.487325728770779,0.3168567807351311,True,True,True,True,touch,below,,,0,price touches 29141.25 ONL and rejects,5m close above 29157.03
2026-09-02:ASIA:v8,S3,short,reject,B,29175.66,29194.3,29136.25,29141.25,18.639999999999418,2.1142703862661527,1.8460300429185048,True,True,True,True,touch,below,,,0,price touches 29175.66 VWAP and rejects,5m close above 29189.25
2026-09-02:ASIA:v9,S1,short,reject,B,,,,29176.29,,,,,,,,touch,below,,,0,Price touches 29200.50 SWG-H·5m and rejects with an upper shadow or 1m MSS down,5m close above 29208.75 cancels the fade
2026-09-02:ASIA:v9,S2,short,reject,B,,,,29159.39,,,,,,,,touch,below,,,0,Price retests 29176.29 VWAP from below and rejects with an upper shadow or 1m MSS down,5m close back above 29193.19 cancels the fade
2026-09-02:ASIA:v10,S1,short,reject,B,29200.5,29228,29141.25,29193.38,27.5,2.1545454545454548,0.25890909090905384,True,True,False,True,touch,below,,,0,"Rally back to 29200.50 SWG-H·5m and stall/reject — the 20:15 retest already stalled at 29200.25, so a re-touch is a fresh upper-shelf fade.",5m close above 29208.75 kills the fade
2026-09-02:ASIA:v10,S2,short,reject,C,,,,29136.25,,,,,,,,touch,below,,,0,"The close back across 29141.25 ONL voids the breakdown. If 29141.25 is retested from below and rejects, that voided-level retest is the short fade; continue toward pdVWAP and OR-H.",5m close above 29159.02 POC kills the reject
2026-09-02:ASIA:v10,S3,long,reclaim,C,,,,29136.25,,,,,,,,1x5m_close,above,,,0,"Short continuation exhausts at 29113.90 pdVWAP and price prints a 5m close back above it — the first legal branch-5 long, below the 50% mark.",5m close below 29102.00 OR-H cancels the reclaim
2026-09-02:ASIA:v11,S1,short,reject,C,29199.5,29227.9,29141.25,29173.88,28.400000000001455,2.0510563380280638,0.9021126760562559,True,True,True,True,touch,above,,,0,Rally into the premium cluster touches SWG-H·5m 29199.50 and is rejected — no 5m hold above it.,5m close above 29208.63 VWAP+2σ — rejection void.
2026-09-02:ASIA:v11,S2,short,sweep_reclaim,C,,,,29199.5,,,,,,,,touch,above,1m_mss,below,0,"Price sweeps above ONH 29218.25, then the 5m bar closes back inside below 29199.50 SWG-H·5m — failed high sweep (PDH-mirror branch 2).","Second consecutive 5m close above 29218.25 — no reclaim, no fade."
2026-09-02:ASIA:v11,S3,long,sweep_reclaim,C,,,,29173.88,,,,,,,,touch,below,1m_mss,above,0,Price re-sweeps below ONL 29132.50 and the 5m bar closes back above 29141.25 SWG-L·5m — low-side sweep-reclaim (long only below the 29138.50 50% line).,"5m close below 29132.50 — sweep becomes acceptance, long void."
2026-09-02:ASIA:v11,S4,short,reject,C,,,,29113.9,,,,,,,,touch,above,,,0,Price retests ONL 29132.50 from below and is rejected — the voided breakdown becomes a lower-high rejection and opens the waterfall path.,"5m close above 29132.50 — rejection void, short void."
2026-09-02:ASIA:v12,S1,short,reject,B,29208.69,29237.75,29141.25,29191.51,29.06000000000131,2.3207157604953768,0.5911906400550418,True,True,True,True,touch,above,,,0,price prints 29208.69 (VWAP+2σ) and fails to hold above it; fade short from the level with a structure stop beyond the recent swing extreme,a 5m close above 29218.25 ONH voids the fade
2026-09-02:ASIA:v12,S2,short,reject,B,29132.5,29161.5,29042.75,29102,29.0,3.0948275862068964,1.0517241379310345,True,True,False,True,touch,above,,,0,price comes back above 29132.50 ONL and fails to hold above it; fade short from the level with a structure stop beyond the recent swing extreme,two 5m closes above 29141.25 reclaim the zone and void the reject
2026-09-02:ASIA:v12,S3,long,sweep_reclaim,C,,,,29157.25,,,,,,,,touch,below,1x5m_close,above,0,"price sweeps below 29132.50 ONL and reclaims with a 5m close above 29132.50; long with stop beyond the sweep extreme, targeting the value mean",a 5m close below 29102.00 OR-H voids the reclaim structure
2026-09-02:ASIA:v13,S1,short,reject,B,29199.5,29226,29132.5,29167.5,26.5,2.5283018867924527,1.2075471698113207,True,True,False,True,touch,below,,,0,Price touches 29199.50 SWG-H·5m and rejects lower; no 5m close above the level.,5m close above 29208.39 VWAP+2σ invalidates the fade
2026-09-02:ASIA:v13,S2,short,sweep_reclaim,C,,,,29167.5,,,,,,,,touch,above,1x5m_close,below,0,Wick above 29218.25 ONH sweeps buy stops; a 1x5m close back below 29218.25 confirms the reclaim.,5m close above 29218.25 with no lower close invalidates the sweep
2026-09-02:ASIA:v13,S3,long,sweep_reclaim,C,,,,29167.5,,,,,,,,touch,below,1x5m_close,above,0,Wick below 29132.50 ONL sweeps sell stops; a 1x5m close back above 29132.50 confirms the reclaim.,5m close below 29132.50 with no higher close invalidates
2026-09-02:ASIA:v14,S1,short,reject,B,29228.75,29250,29186.14,29218.25,21.25,2.0051764705882626,0.49411764705882355,True,True,True,True,touch,below,,,0,price touches 29228.75 SWG-L·5m from below and stalls,2x5m close above 29238.95 negates the rejection
2026-09-02:ASIA:v14,S2,long,sweep_reclaim,B,,,,29132.5,,,,,,,,touch,below,1x5m_close,above,0,"sweep below 29017.25 RTH-L wicks out liquidity, then 1x5m close back above 29017.25",2x5m close below 28927.25 kills the reclaim
2026-09-02:ASIA:v14,S3,short,reject,C,,,,29098.88,,,,,,,,touch,below,,,0,price touches 29132.50 ONL from below and stalls,2x5m close back above 29132.50 reclaims the break
2026-09-02:ASIA:v14,S4,short,reject,B,29255,29275.25,29214.5,29235,20.25,2.0,0.9876543209876543,True,True,False,False,touch,below,,,0,retest of 29255.00 PDH from below stalls,2x5m close above 29275.25 breaks the high
2026-09-02:ASIA:v15,S1,short,reject,C,,,,29075,,,,,,,,touch,below,,,0,Price retraces to 29113.90 pdVWAP after the ONL sweep and rejects; enter short on touch. Structure stop beyond VWAP−1σ at 29142.04. Invalidation on 5m close above 29132.50.,5m close above 29132.50 invalidates the fade.
2026-09-02:ASIA:v15,S2,short,reject,C,,,,29017.25,,,,,,,,touch,below,,,0,Price retests 29075 ONL from below and rejects; enter short on touch.,Recovery above 29107.02 VWAP−2σ voids the rejection.
2026-09-03:LONDON:v1,S1,short,reject,C,,,,29173.56,,,,,,,,touch,below,,,0,Rally into 29204.25 SWG-H·5m; first touch of prior 5m supply after the fast decline.,5m close above 29228.75 voids the rejection
2026-09-03:LONDON:v1,S2,long,sweep_reclaim,C,,,,29139.1,,,,,,,,touch,below,1m_mss,above,0,Sweep of 29075.00 ONL and a 1m MSS back above it; the only legal long below the dealing-range half.,1m close below 29017.25 after the sweep
2026-09-03:NY:v1,S1,short,reject,B,29259.67,29289,29178.73,29219.2,29.330000000001746,2.7596317763380114,1.3798158881689437,True,True,True,True,touch,above,,,0,First touch of 29259.67 VWAP+2σ with a 5m/15m rejection candle after the 66pt fast move; fade the extended premium above value.,5m close above 29259.67 voids the fade
2026-09-03:NY:v1,S2,long,breakout_retest,C,,,,29293,,,,,,,,touch,below,,,0,"5m close above 29259.67 VWAP+2σ, then successful retest of 29259.67 holds as support.",5m close back below 29259.67 voids the retest
2026-09-03:NY:v1,S3,short,sweep_reclaim,A,,,,29259.67,,,,,,,,touch,above,1m_mss,below,0,"Sweep of 29293.00 ONH (stops above the 04:00 1h high), then 1m MSS back inside.",5m close above 29293.00 keeps the breakout alive
2026-09-03:LONDON:v2,S1,short,reject,B,29219.97,29255,29144.5,29179.57,35.029999999998836,2.1544390522410413,1.1532971738510647,True,True,True,True,touch,above,,,0,Price touches 29219.97 VWAP+1σ and rejects; re-test of consumed level.,5m close above 29255.00 invalidates this short
2026-09-03:LONDON:v2,S2,short,sweep_reclaim,C,,,,29255,,,,,,,,touch,above,1x5m_close,below,0,Price sweeps above 29293.00 ONH then 5m closes back below.,5m close above 29293.00 invalidates this sweep_reclaim
2026-09-03:LONDON:v2,S3,long,sweep_reclaim,C,,,,29144.5,,,,,,,,touch,below,1x5m_close,above,0,Price sweeps below 29075.00 ONL then 5m closes back above.,5m close below 29075.00 invalidates this sweep_reclaim
2026-09-03:NY:v2,S1,short,reject,B,29285,29340,29144.5,29233.08,55,2.5545454545454547,0.9439999999999682,True,True,False,True,touch,below,,,0,A retest of 29285.00 OR-H stalls after the 08:30 failure; short the touch.,A 5m close above 29293.00 ONH voids the fade.
2026-09-03:NY:v2,S2,long,reject,B,,,,29209.25,,,,,,,,touch,above,,,0,First touch of 29144.50 Demand·1h after a flush toward 29075.00 ONL; long the touch.,A 5m close below 29075.00 ONL invalidates the demand fade.
2026-09-03:NY:v2,S3,short,sweep_reclaim,A,,,,29255,,,,,,,,touch,above,1x5m_close,below,0,A wick through 29293.00 ONH that closes back below 29285.00 on 5m triggers a short sweep-reclaim.,A 5m close above 29498.50 OB(bear)·1h voids the play.
2026-09-03:NY:v3,S1,long,reclaim,C,,,,29293,,,,,,,,1x5m_close,above,,,0,ISM flush low 29250 held above PDH 29255; a 5m close back above 29285.00 OR-H triggers a reclaim of the overnight high,A 5m close below 29255.00 after the trigger negates the reclaim and opens S3
2026-09-03:NY:v3,S2,short,reject,A,29351.05,29418.75,29209.25,29285,67.70000000000073,2.094534711964516,0.9756277695716183,True,True,True,True,touch,below,,,0,Rally into 29351.05 VWAP+2σ; first touch is a fade with stop 29418.75 above the 08:45 high 29375.25,A 1x5m close above 29418.75 invalidates the fade; a 5m close above 29351.05 before fill cancels it
2026-09-03:NY:v3,S3,short,reject,C,,,,29222.75,,,,,,,,touch,below,,,0,A 5m close below 29255.00 PDH flips the tape; the first pullback that touches 29255.00 is a failed retest and is sold,A 1x5m close back above 29255.00 negates the failed retest
2026-09-03:NY:v3,S4,long,sweep_reclaim,B,,,,29150.11,,,,,,,,touch,above,1x5m_close,above,0,"Deep flush sweeps 29075.00 ONL, then a 5m close back above it signals the reclaim",A 5m close below 29017.25 extends the sweep and cancels the reclaim
2026-09-03:NY:v4,S1,long,breakout_retest,A,,,,29303.68,,,,,,,,touch,above,,,0,Pullback retest at 29260.00 SWG-H·5m; a 5m close back above 29285.00 triggers the long.,A 5m close below 29260.00 cancels S1; then the 29222.75 OR-L bid is the next long reference.
2026-09-03:NY:v4,S2,long,breakout_retest,A,,,,29346.88,,,,,,,,1x5m_close,above,,,0,Momentum long: 5m close above 29303.68 VWAP+1σ; wait for a small pullback that holds 29293.00 and re-enter long.,A 5m close below 29293.00 invalidates the breakout retest.
2026-09-03:NY:v4,S3,long,reclaim,B,,,,29260,,,,,,,,1x5m_close,above,,,0,"Defensive long: only if price liquidates below 29260.00 and sweeps 29222.75 OR-L, then a 5m close back above 29222.75 is the reclaim.",A 5m close below 29209.25 Supply·1h kills the reclaim; next lower reference is 29144.50 Demand·1h.
2026-09-03:NY:v5,S1,long,reclaim,B,,,,29445.5,,,,,,,,1x5m_close,above,,,0,Reclaim/hold of EQL·15m 29435.75 after first touch; acceptance above opens EQH·15m 29445.50 then EQL·1h 29455.00.,5m close below 29406.28
2026-09-03:NY:v5,S2,short,reject,B,,,,29406.28,,,,,,,,touch,below,,,0,Touch/reject at EQH·15m 29445.50 (or EQL·1h 29455.00) after liquidity run; fade only with a clear wick reject back below 29445.50.,5m close above 29539.38
2026-09-03:NY:v6,S1,long,reclaim,B,,,,29526.5,,,,,,,,1x5m_close,above,,,0,"Price prints a 5m close above 29517.00 EQH·15m, confirming the 10:45 15m BOS-up continuation.",A 5m close back below 29502.88 or a 1m_mss lower before entry voids the reclaim.
2026-09-03:NY:v6,S2,long,reject,A,29481.05,29414,29619.5,29543.75,67.04999999999927,2.0648769574944406,0.9351230425056138,True,True,True,True,touch,above,,,0,First touch of 29481.05 VWAP+2σ rejects higher; entry on the reaction above 29481.05.,A 5m close below 29481.05 or a 1m_mss lower pre-entry voids the support defense.
2026-09-03:NY:v6,S3,short,reject,B,29543.75,29610.25,29364.75,29502.88,66.5,2.691729323308271,0.6145864661653982,True,True,False,True,touch,below,,,0,Price rallies back to 29543.75 SWG-H·5m and stalls at the 29539.38 Supply·1h confluence; the first touch of 29543.75 rejects lower.,A 5m close above 29543.75 or a 1m_mss above 29539.38 before entry nullifies the fade.
2026-09-03:NY:v7,S1,long,breakout_retest,A,,,,29567,,,,,,,,touch,above,,,0,"Break 29543.75 (SWG-H·5m) on a 15m close, then a shallow pullback touches 29543.75 and holds.",2x5m close below 29529.50 cancels the retest.
2026-09-03:NY:v7,S2,long,reclaim,B,,,,29529.5,,,,,,,,1x5m_close,above,,,0,Pullback into 29512.29 (VWAP+2σ) after the 10:00 displacement; a 5m close back above 29512.29 triggers long.,2x5m close below 29502.25 invalidates the reclaim.
2026-09-03:NY:v7,S3,short,reject,B,29543.75,29592.5,29397.11,29512.29,48.75,3.007999999999988,0.6453333333333154,True,True,True,True,touch,below,,,0,A retest of 29543.75 (SWG-H·5m) stalls inside the 1h supply band 29539.38; sell the rejection.,15m close above 29543.75 cancels the short.
2026-09-03:ASIA:v1,S1,long,breakout_retest,B,,,,29539.38,,,,,,,,1x5m_close,above,touch,above,0,"A 5m close above 29525.75 confirms the breakout, then price retests 29525.75 from above and holds.",A 5m close below 29517.50 negates the breakout retest.
2026-09-03:ASIA:v1,S2,long,reclaim,A,,,,29502.88,,,,,,,,1x5m_close,above,,,0,Price dips to 29460.16 VWAP+2σ and auctions back; a 5m close above 29460.16 triggers long.,A 5m close below 29362.15 cancels the reclaim setup.
2026-09-03:ASIA:v1,S3,short,sweep_reclaim,B,,,,29502.88,,,,,,,,touch,above,1x5m_close,below,0,"Price sweeps above 29525.75, then a 5m close below 29525.75 accepts the failure; entry short on that close.",A 5m close above 29525.75 after the sweep negates the failure.
2026-09-03:ASIA:v1,S4,long,reclaim,B,,,,29517.5,,,,,,,,1x5m_close,above,,,0,Price reclaims 29512.54 eVWAP; a 5m close above 29512.54 triggers long toward the range top.,A 5m close below 29502.88 cancels the eVWAP reclaim.
2026-09-03:ASIA:v2,S1,long,sweep_reclaim,B,,,,29502.88,,,,,,,,touch,below,1x5m_close,above,0,Price prints below 29481.50 ONL (stop sweep) and then closes a 5m candle back above 29481.50.,Reclaim close does not print; 5m close below 29462.50 before any reclaim cancels the long.
2026-09-03:ASIA:v2,S2,short,sweep_reclaim,B,,,,29502.88,,,,,,,,touch,above,1x5m_close,below,0,Price prints above 29513.00 ONH (stop sweep) and then closes a 5m candle back below 29513.00.,A second 5m close above 29513.00 confirms acceptance and cancels the short.
2026-09-03:ASIA:v2,S3,long,breakout_retest,B,,,,29539.38,,,,,,,,touch,above,,,0,A 5m close above 29513.00 ONH confirms the break; entry on a retest that touches 29513.00 and holds above it.,The retest of 29513.00 fails with a 5m close back below 29502.88.
2026-09-03:ASIA:v3,S1,long,reclaim,B,,,,29521.25,,,,,,,,1x5m_close,above,,,0,Pullback to 29503.08 VWAP holds; a 5m close back above 29503.08 triggers the long.,5m close below 29481.50 ONL invalidates S1.
2026-09-03:ASIA:v3,S2,long,breakout_retest,B,,,,29527.62,,,,,,,,1x5m_close,above,,,0,A 5m close above 29521.25 ONH confirms the break; a pullback retest of 29521.25 that holds is the long entry.,5m close back below 29521.25 ONH invalidates S2.
2026-09-03:ASIA:v3,S3,short,sweep_reclaim,C,,,,29503.08,,,,,,,,touch,above,1x5m_close,below,0,Leg 1: price touches/sweeps 29521.25 ONH; leg 2: a 5m close back below 29521.25 triggers the fade short.,5m close above 29527.62 POC negates S3.
2026-09-03:ASIA:v4,S1,short,reject,B,29548,29558.5,29522.22,29522.22,10.5,2.455238095237984,2.455238095237984,True,True,True,True,touch,below,,,0,touch 29548.00 and reject,5m close above 29548.00
2026-09-03:ASIA:v4,S2,long,breakout_retest,B,,,,29574.38,,,,,,,,touch,above,,,0,"5m close above 29548.00, then retest 29548.00 holds",5m close below 29541.75
