name,kind,defined_at,type,code_default,ui_fallback,live_value,origin,readers,controls,label_guide_match,status
ai_config.risk_control.daily_profit_target_usd,strategy,store/strategy.go:2051,float64,0,Studio RiskControlEditor control,900,O,kernel/engine_analysis.go:164; kernel/risk_limits.go:284; kernel/risk_limits.go:308; kernel/risk_limits.go:324; kernel/risk_limits.go:341; kernel/risk_limits.go:342; kernel/risk_limits.go:371; kernel/risk_limits.go:372; +1 more; ,strategy field (ai_config.risk_control.daily_profit_target_usd),"no (Studio only, no guide)",LIVE
ai_config.risk_control.guardrails_enabled,strategy,store/strategy.go:2041,*bool,(zero),Studio RiskControlEditor control,false,O,kernel/risk_limits.go:320; trader/auto_trader_pause.go:198; trader/desk_facts.go:517; trader/desk_facts.go:802; trader/session_risk.go:364; kernel/engine_analysis.go:153,"guardrails master switch (live FALSE — stored caps bypassed, NOTE-3)",yes,LIVE
ai_config.risk_control.hold_discipline,strategy,store/strategy.go:2113,*bool,(zero),Studio RiskControlEditor control,true,O,trader/auto_trader_orders.go:82; trader/effective_settings.go:675; trader/auto_trader_orders.go:84,hold-discipline flag (live true),"no (Studio only, no guide)",LIVE
ai_config.risk_control.max_contracts_enabled,strategy,store/strategy.go:2085,*bool,(zero),Studio RiskControlEditor control,false,O,store/strategy.go:2091,INEFFECTIVE — no gate reads it,"n/a (no Studio control, no guide)",DEAD
ai_config.risk_control.max_contracts_per_order,strategy,store/strategy.go:2081,int,0,Studio RiskControlEditor control,2,O,trader/armed_executor.go:1057; trader/auto_trader_orders.go:55; trader/effective_settings.go:663; trader/auto_trader_orders.go:57,futures contract cap per order (live 2),"no (Studio only, no guide)",LIVE
ai_config.risk_control.max_daily_trades,strategy,store/strategy.go:2055,int,0,Studio RiskControlEditor control,3,O,kernel/engine_analysis.go:166; kernel/engine_analysis.go:167; kernel/risk_limits.go:285; kernel/risk_limits.go:286; kernel/risk_limits.go:309; kernel/risk_limits.go:310; kernel/risk_limits.go:325; kernel/risk_limits.go:326; +7 more; ,strategy field (ai_config.risk_control.max_daily_trades),"no (Studio only, no guide)",LIVE
ai_config.risk_control.max_daily_trades_enabled,strategy,store/strategy.go:2056,*bool,(zero),Studio RiskControlEditor control,false,O,kernel/engine_analysis.go:163,strategy field (ai_config.risk_control.max_daily_trades_enabled),"no (Studio only, no guide)",LIVE
ai_config.risk_control.max_margin_usage,strategy,store/strategy.go:2028,float64,0.9,Studio RiskControlEditor control,0.9,O,agent/skill_management_handlers.go:1166; agent/skill_management_handlers.go:1762; agent/skill_management_handlers.go:1819; kernel/engine_prompt.go:86; kernel/schema.go:257; store/strategy.go:57; store/strategy.go:205; store/strategy.go:206; +4 more,"INEFFECTIVE — prompt text only, no gate reads it","no (Studio only, no guide)",DEAD
ai_config.risk_control.max_notional_leverage,strategy,store/strategy.go:2090,float64,0,Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:582; trader/auto_trader_risk.go:267; trader/effective_settings.go:671; kernel/engine_analysis.go:557,strategy field (ai_config.risk_control.max_notional_leverage),"no (Studio only, no guide)",LIVE
ai_config.risk_control.max_positions,strategy,store/strategy.go:2015,int,3,Studio RiskControlEditor control,3,O,agent/skill_management_handlers.go:1163; agent/skill_management_handlers.go:1760; agent/skill_management_handlers.go:1817; api/handler_user.go:432; api/strategy.go:625; kernel/engine_analysis.go:131; kernel/engine_prompt.go:81; kernel/golden_selfcheck.go:41; +10 more,max open positions (live 3),yes,LIVE
ai_config.risk_control.min_confidence,strategy,store/strategy.go:2035,int,75,Studio RiskControlEditor control,60,O,agent/central_brain.go:1181; agent/skill_execution_handlers.go:950; agent/skill_management_handlers.go:1161; agent/skill_management_handlers.go:1760; agent/skill_management_handlers.go:1817; agent/skill_management_handlers.go:2495; api/handler_user.go:419; api/handler_user.go:434; +17 more; ,minimum AI confidence to trade (live 60 vs default 75),yes,LIVE
ai_config.risk_control.min_position_size,strategy,store/strategy.go:2030,float64,12,Studio RiskControlEditor control,12,O,agent/skill_management_handlers.go:1167; agent/skill_management_handlers.go:1762; agent/skill_management_handlers.go:1819; agent/trade.go:472; kernel/engine_prompt.go:87; store/strategy.go:58; store/strategy.go:211; store/strategy.go:212; +5 more,INEFFECTIVE — crypto hardcode (12/60) in engine_position.go,"no (Studio only, no guide)",DEAD
ai_config.risk_control.min_risk_reward_ratio,strategy,store/strategy.go:2033,float64,3,Studio RiskControlEditor control,2,O,agent/central_brain.go:1182; agent/skill_execution_handlers.go:956; agent/skill_management_handlers.go:1162; agent/skill_management_handlers.go:1762; agent/skill_management_handlers.go:1819; agent/skill_management_handlers.go:2496; api/config_resolved.go:96; api/config_resolved.go:97; +17 more; ,arm-gate R:R floor (armGateVerdictFor; live 2 vs code default 3.0),yes,LIVE
ai_config.risk_control.notional_cap_enabled,strategy,store/strategy.go:2092,*bool,(zero),Studio RiskControlEditor control,false,O,NONE,INEFFECTIVE — no gate reads it,"n/a (no Studio control, no guide)",DEAD
ai_config.risk_control.reentry_cooldown_minutes,strategy,store/strategy.go:2077,int,0,Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:644; trader/entry_admission.go:422; kernel/engine_analysis.go:619,strategy field (ai_config.risk_control.reentry_cooldown_minutes),"no (Studio only, no guide)",LIVE
ai_config.risk_control.trailing_arm,strategy,store/strategy.go:2131,string,"""""",Studio RiskControlEditor control,(absent → code default),default,store/strategy.go:2130; store/strategy.go:2132; trader/auto_trader_trailing.go:52; trader/auto_trader_trailing.go:58,strategy field (ai_config.risk_control.trailing_arm),"no (Studio only, no guide)",LIVE
ai_config.risk_control.trailing_arm_points,strategy,store/strategy.go:2132,float64,0,Studio RiskControlEditor control,(absent → code default),default,trader/auto_trader_trailing.go:58,strategy field (ai_config.risk_control.trailing_arm_points),"no (Studio only, no guide)",LIVE
ai_config.risk_control.trailing_atr_mult,strategy,store/strategy.go:2128,float64,0,Studio RiskControlEditor control,(absent → code default),default,trader/auto_trader_trailing.go:44,strategy field (ai_config.risk_control.trailing_atr_mult),"no (Studio only, no guide)",LIVE
ai_config.risk_control.trailing_atr_period,strategy,store/strategy.go:2129,int,0,Studio RiskControlEditor control,14,O,trader/auto_trader_trailing.go:48,strategy field (ai_config.risk_control.trailing_atr_period),"no (Studio only, no guide)",LIVE
ai_config.risk_control.trailing_enabled,strategy,store/strategy.go:2127,*bool,(zero),Studio RiskControlEditor control,false,O,trader/auto_trader_trailing.go:43; trader/exit_mechs_suspend.go:124,trailing exit on/off (live false),"no (Studio only, no guide)",LIVE
day_plan,strategy,store/strategy.go:752,*DayPlanConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
day_plan.acceptance_rule,strategy,store/strategy.go:1060,string,"""5m_close"" (folded: the one rule)",no control (folded),"""5m_close""",O,api/handler_plan.go:193; kernel/engine_analysis.go:487; store/strategy.go:1056; store/strategy.go:1057; store/strategy.go:1195; store/strategy.go:1263; store/strategy.go:1275; store/strategy.go:1730; +5 more; ,folded; resolver maps every value onto 5m close,n/a (folded knob),SHADOWED
day_plan.approval_required,strategy,store/strategy.go:1071,bool,false,Studio control (DayPlanEditor / strategy row selector),false,O,api/handler_plan.go:178; store/strategy.go:1070; store/strategy.go:1601; trader/auto_trader_planconfig.go:153; trader/auto_trader_planconfig.go:155,whether plan authoring needs approval (live false),yes,LIVE
day_plan.condition_status,strategy,store/strategy.go:1156,map[string]string,{},no control (guide documents it),(absent → code default),default,kernel/condition_status.go:35; kernel/condition_status.go:40; kernel/condition_status.go:41; kernel/condition_status.go:52; kernel/condition_status.go:53; kernel/condition_status.go:58; kernel/condition_status.go:102; kernel/condition_status.go:107; +33 more; ,condition status knob,"no (guide only, no Studio control)",LIVE
day_plan.death_reread,strategy,store/strategy.go:1039,*bool,true (nil → ON),Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,manager/trader_manager.go:624; store/death_reread_counters.go:5; store/death_reread_counters.go:9; store/death_reread_counters.go:18; store/death_reread_counters.go:26; store/death_reread_counters.go:27; store/death_reread_counters.go:28; store/strategy.go:1032; +12 more; ,death re-read on/off (default ON),yes,LIVE
day_plan.entry_policy_default,strategy,store/strategy.go:1166,string,"""market_in_zone""","frontend type only, no control",(absent → code default),default,cmd/planner_replay/main.go:366; cmd/planner_replay/main.go:380; cmd/w2w3_replay/main.go:139; cmd/w2w3_replay/main.go:154; kernel/entry_policy.go:23; kernel/entry_policy.go:26; kernel/entry_policy_prompt.go:45; kernel/plan_doc.go:557; +19 more; ,default entry policy (market_in_zone),"no (guide only, no Studio control)",LIVE
day_plan.evening_digest,strategy,store/strategy.go:1075,bool,false,no control (folded),true,O,store/strategy.go:1072; store/strategy.go:1671; store/strategy.go:1692; store/strategy.go:1695; store/strategy.go:1696; store/strategy.go:1721; trader/auto_trader_planconfig.go:161; trader/effective_settings.go:830; ,folded; stored true honoured,n/a (folded knob),SHADOWED
day_plan.fade_or_wide_k,strategy,store/strategy.go:978,float64,0,"no control, no guide",(absent → code default),default,store/strategy.go:974; trader/fade_boot.go:18; trader/fade_boot.go:19; trader/fade_facts.go:157; trader/fade_facts.go:158; trader/fade_facts.go:155,fade/wide multiplier k,"n/a (no Studio control, no guide)",LIVE
day_plan.flip_reread,strategy,store/strategy.go:1031,bool,false,Studio control (DayPlanEditor / strategy row selector),true,O,manager/trader_manager.go:619; store/strategy.go:1027; store/strategy.go:1742; store/strategy.go:1744; store/strategy.go:1745; trader/auto_trader_planner.go:287; trader/auto_trader_planner.go:838; trader/effective_settings.go:824; +3 more; ,flip re-read on/off (live true),yes,LIVE
day_plan.geometry_reference_levels,strategy,store/strategy.go:1144,*bool,true (nil → ON),no control (guide documents it),(absent → code default),default,store/strategy.go:1132; store/strategy.go:1137; store/strategy.go:1832; trader/geometry_ref_boot.go:15; trader/geometry_ref_boot.go:18; kernel/planner_prompt.go EnsureReferenceLevelIDs (map ids); trader/auto_trader_planner.go write-site stamp; trader/structural_geometry.go resolveEntryGeometryZone via ComposeLevelFadeGeometryWith (executor tf wildcard + null-width reference-line admission),geometry reference levels gate (default ON),"no (guide only, no Studio control)",LIVE
day_plan.htf_seats,strategy,store/strategy.go:1022,*int,2,Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,store/strategy.go:1019; store/strategy.go:1598; trader/auto_trader_planner.go:2807; trader/auto_trader_planner.go:2808; kernel/levels_score.go seatHTF (S3),HTF seat count (default 2),"no (Studio only, no guide)",LIVE
day_plan.levels_fresh_by_tf,strategy,store/strategy.go:1123,bool,false,no control (folded),true,O,store/strategy.go:1116; store/strategy.go:1727; store/strategy.go:1808; store/strategy.go:1810; store/strategy.go:1811; trader/auto_trader_dayplan.go:221; trader/auto_trader_dayplan.go:239; trader/effective_settings.go:829; ,folded knob — registry note: W-KNOB-PRUNE 2026-09-18: verdict REMOVE (S4c: freshness separates nothing) but t,n/a (folded knob),SHADOWED
day_plan.max_levels,strategy,store/strategy.go:1013,int,0,Studio control (DayPlanEditor / strategy row selector),12,O,kernel/engine_analysis.go:381; kernel/engine_analysis.go:382; kernel/golden_selfcheck.go:51; kernel/golden_selfcheck.go:73; kernel/golden_selfcheck.go:92; kernel/planner_prompt.go:156; kernel/planner_prompt.go:798; store/strategy.go:1012; +4 more; ,max plan levels (live 12),yes,LIVE
day_plan.min_hold_min,strategy,store/strategy.go:1184,*int,3,"frontend type only, no control",(absent → code default),default,kernel/entry_policy_prompt.go:32; kernel/entry_policy_prompt.go:51; kernel/entry_policy_prompt.go:53; kernel/entry_policy_prompt.go:69; kernel/plan_doc.go:561; kernel/plan_doc.go:562; kernel/plan_doc.go:610; kernel/planner_prompt.go:44; +7 more; ,minimum hold minutes (default 3),"no (guide only, no Studio control)",LIVE
day_plan.min_scenario_quality,strategy,store/strategy.go:1148,string,"""""",Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,kernel/engine.go:148; kernel/engine_position.go:300; kernel/engine_position.go:301; kernel/transition.go:58; kernel/transition.go:63; store/effective_sources.go:3; store/effective_sources.go:11; store/effective_sources.go:13; +19 more,minimum scenario quality grade,yes,LIVE
day_plan.one_setup_enabled,strategy,store/strategy.go:984,*bool,(zero),Studio control (DayPlanEditor / strategy row selector),false,O,store/resolve_source.go:185; store/resolve_source.go:186; store/strategy.go:979; store/resolve_source.go:ResolveOneSetup; trader/one_setup_wiring.go:oneSetupConfig,one-setup mode (live FALSE [O]),yes,LIVE
day_plan.one_setup_min_grade,strategy,store/strategy.go:999,string,"""B""",Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,store/resolve_source.go:188; store/strategy.go:997; store/resolve_source.go:ResolveOneSetup; kernel/one_setup.go:OneSetupBestCandidate,one-setup minimum scenario grade (default B),yes,LIVE
day_plan.picture_htf,strategy,store/strategy.go:990,*PictureHtfConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
day_plan.picture_htf.enabled,strategy,store/strategy.go:930,bool,false,no control,true,O,store/strategy.go:PictureHtfResolved,"picture HTF mode (live true, SIM-only rule v1)",yes,LIVE
day_plan.picture_htf.entry_window_sec,strategy,store/strategy.go:934,int,0,no control,(absent → code default),default,store/strategy.go:945; store/strategy.go:946; store/strategy.go:956; store/strategy.go:957; trader/effective_settings.go:894; trader/picture_htf_evaluator.go:590; trader/picture_htf_live.go:127; trader/picture_htf_live.go:208; ,submission allowed within N seconds of the new 5m interval (default 360).,"no (Studio only, no guide)",LIVE
day_plan.picture_htf.freshness_sec,strategy,store/strategy.go:935,int,0,no control,(absent → code default),default,store/strategy.go:945; store/strategy.go:946; store/strategy.go:959; store/strategy.go:960; trader/effective_settings.go:895; trader/picture_htf_evaluator.go:644; trader/picture_htf_evaluator.go:645; trader/picture_htf_evaluator.go:647; +2 more; ,max accepted age of the freshest bar frame at evaluation and send (default 30s).,"no (Studio only, no guide)",LIVE
day_plan.picture_htf.min_rr,strategy,store/strategy.go:936,float64,0,no control,(absent → code default),default,docs/superpowers/reports/2026-09-12-structural-stop/harness/sweep.go:84; kernel/map_candidates.go:133; kernel/map_candidates.go:138; kernel/map_candidates.go:216; kernel/map_candidates.go:289; kernel/plan_doc.go:548; kernel/plan_doc.go:555; kernel/plan_doc.go:556; +29 more; ,0 = the strategy's configured minimum R:R; the nearest eligible zone is never skipped to fix R:R.,"no (Studio only, no guide)",LIVE
day_plan.picture_htf.pivot_window,strategy,store/strategy.go:932,int,0,no control,(absent → code default),default,store/strategy.go:945; store/strategy.go:946; store/strategy.go:950; store/strategy.go:951; trader/effective_settings.go:892; trader/picture_htf_evaluator.go:270; trader/picture_htf_evaluator.go:284; trader/picture_htf_evaluator.go:308; +2 more; ,latest N completed 4H candles for body-pivot discovery (default 120).,"no (Studio only, no guide)",LIVE
day_plan.picture_htf.swing_lookback,strategy,store/strategy.go:933,int,0,no control,(absent → code default),default,store/strategy.go:945; store/strategy.go:946; store/strategy.go:953; store/strategy.go:954; trader/effective_settings.go:893; trader/picture_htf_evaluator.go:577; trader/picture_htf_evaluator.go:651; trader/picture_htf_live.go:127; ,preceding N completed 5m candles for the structural swing stop (default 24).,"no (Studio only, no guide)",LIVE
day_plan.picture_htf.tick_size,strategy,store/strategy.go:931,float64,0,no control,(absent → code default),default,cmd/nq_smoke/main.go:120; cmd/nq_smoke/smoke_prompt.go:18; kernel/engine_prompt_futures.go:84; kernel/engine_prompt_futures.go:308; kernel/engine_prompt_futures.go:359; kernel/engine_prompt_futures.go:385; kernel/engine_prompt_futures.go:391; provider/ninjatrader/tcp_framing.go:518; +22 more; ,one instrument tick (default 0.25 MNQ); the H1 close must cross by at least one tick.,"no (Studio only, no guide)",LIVE
day_plan.plan_enabled,strategy,store/strategy.go:968,bool,false,no control,true,O,api/handler_plan.go:29; cmd/dayplan-arm/main.go:54; cmd/dayplan-sessions/main.go:84; kernel/engine_analysis.go:380; kernel/engine_prompt_futures.go:152; kernel/engine_prompt_futures.go:183; kernel/golden_selfcheck.go:51; kernel/golden_selfcheck.go:73; +10 more; ,day-plan master switch (live true),"no (Studio only, no guide)",LIVE
day_plan.plan_mode,strategy,store/strategy.go:973,string,"""""",Studio control (DayPlanEditor / strategy row selector),"""strict""",O,api/config_resolved.go:113; api/config_resolved.go:114; api/handler_plan.go:194; kernel/engine.go:345; kernel/golden_selfcheck.go:92; store/resolve_source.go:9; store/resolve_source.go:165; store/resolve_source.go:166; +16 more; ,plan mode (live strict),yes,LIVE
day_plan.planner_contract,strategy,store/strategy.go:996,*bool,true (nil → ON),"no control, no guide",(absent → code default),default,kernel/planner_prompt.go:68; kernel/planner_prompt.go:72; kernel/planner_prompt.go:544; kernel/planner_prompt.go:608; kernel/planner_prompt.go:799; store/strategy.go:991; store/strategy.go:2845; store/strategy.go:2847; +3 more; ,planner contract knob (nil=ON; A3); no Studio control — P2-4,"n/a (no Studio control, no guide)",LIVE
day_plan.planner_fresh_tape,strategy,store/strategy.go:1047,*bool,true (nil → ON),no control (guide documents it),(absent → code default),default,kernel/planner_fresh_tape.go:17; kernel/planner_fresh_tape.go:18; kernel/planner_fresh_tape.go:21; kernel/planner_fresh_tape.go:31; kernel/planner_fresh_tape.go:41; kernel/planner_fresh_tape.go:71; kernel/planner_fresh_tape.go:81; kernel/planner_fresh_tape.go:82; +9 more; ,planner fresh-tape knob (nil=ON; A6),"no (guide only, no Studio control)",LIVE
day_plan.planner_model,strategy,store/strategy.go:971,string,"""""",Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,store/strategy.go:969; trader/auto_trader_planner.go:75; trader/auto_trader_planner.go:71,planner model binding,"no (Studio only, no guide)",LIVE
day_plan.planner_timeframes,strategy,store/strategy.go:1001,[]string,[],Studio control (DayPlanEditor / strategy row selector),"[""D"", ""4h"", ""1h"", ""15m"", ""5m""]",O,store/strategy.go:1000; store/strategy.go:1595; trader/auto_trader_planner.go:2817; trader/auto_trader_planner.go:2818; trader/auto_trader_planner.go:1990,"planner timeframes (live [D,4h,1h,15m,5m])",yes,LIVE
day_plan.proximity_filter_atr,strategy,store/strategy.go:1011,float64,0,Studio control (DayPlanEditor / strategy row selector),1,O,kernel/engine_analysis.go:390; store/strategy.go:1010; store/strategy.go:1596; trader/auto_trader_planconfig.go:139; kernel/engine_analysis.go:375,level proximity filter in ATR units (live 1),yes,LIVE
day_plan.realign_cap,strategy,store/strategy.go:1080,int,0,no control (folded),10,O,api/handler_plan.go:2429; store/strategy.go:1076; store/strategy.go:1671; store/strategy.go:1685; store/strategy.go:1686; store/strategy.go:1687; store/strategy.go:1718; store/strategy.go:1719; +4 more; ,folded; stored 10 honoured,n/a (folded knob),SHADOWED
day_plan.replan_cap,strategy,store/strategy.go:1066,*int,4 (base),Studio control (DayPlanEditor / strategy row selector),4,O,api/handler_plan.go:195; manager/trader_manager.go:610; store/resolve_source.go:61; store/resolve_source.go:63; store/resolve_source.go:132; store/resolve_source.go:133; store/resolve_source.go:134; store/resolve_source.go:136; +36 more; ,replan cap per session (live 4 top + per-session 4),yes,LIVE
day_plan.scenario_cap,strategy,store/strategy.go:1018,int,0,no control (folded),5,O,kernel/planner_prompt.go:157; kernel/planner_prompt.go:798; store/strategy.go:1014; store/strategy.go:1671; store/strategy.go:1678; store/strategy.go:1679; store/strategy.go:1680; store/strategy.go:1715; +4 more; ,folded; stored 5 honoured,n/a (folded knob),SHADOWED
day_plan.sessions,strategy,store/strategy.go:1088,[]DayPlanSessionOverride,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
day_plan.sessions.acceptance_rule,strategy,store/strategy.go:1195,*string,(zero),Studio session override block,(absent → code default),default,api/handler_plan.go:193; kernel/engine_analysis.go:487; store/strategy.go:1056; store/strategy.go:1057; store/strategy.go:1060; store/strategy.go:1263; store/strategy.go:1275; store/strategy.go:1730; +5 more; ,folded knob — registry note: W-KNOB-PRUNE 2026-09-18: one rule exists (1×5m close); the resolver already mapp,n/a (folded knob),SHADOWED
day_plan.sessions.condition_status,strategy,store/strategy.go:1213,*map[string]string,(zero),Studio session override block,(absent → code default),default,kernel/condition_status.go:35; kernel/condition_status.go:40; kernel/condition_status.go:41; kernel/condition_status.go:52; kernel/condition_status.go:53; kernel/condition_status.go:58; kernel/condition_status.go:102; kernel/condition_status.go:107; +33 more; ,W1 (f) 2026-09-23: the old cite auto_trader_planner.go:1481 is clockHoldDeferLine — not a reader.,"no (guide only, no Studio control)",LIVE
day_plan.sessions.enable,strategy,store/strategy.go:1192,*bool,(zero),Studio session override block,(absent → code default),default,agent/agent.go:56; agent/agent.go:57; agent/agent.go:58; agent/agent.go:72; agent/agent.go:73; agent/agent.go:74; agent/agent.go:155; agent/agent.go:164; +383 more; ,strategy field (day_plan.sessions.enable),yes,LIVE
day_plan.sessions.eod_flat_offset_min,strategy,store/strategy.go:1210,*int,(zero),Studio session override block,(absent → code default),default,store/effective_sources.go:52; store/effective_sources.go:53; store/strategy.go:1206,"no consumer found by a FIELD grep on 2026-09-03 (grep -rn "".<Field>\b"" kernel trader api agent provider). A ME","n/a (no Studio control, no guide)",LIVE
day_plan.sessions.last_entry_offset_min,strategy,store/strategy.go:1205,*int,(zero),Studio session override block,(absent → code default),default,store/effective_sources.go:44; store/effective_sources.go:45; store/strategy.go:1201,"no consumer found by a FIELD grep on 2026-09-03 (grep -rn "".<Field>\b"" kernel trader api agent provider). A ME","n/a (no Studio control, no guide)",LIVE
day_plan.sessions.max_trades,strategy,store/strategy.go:1197,*int,(zero),Studio session override block,(absent → code default),default,cmd/dayplan-sessions/main.go:118; cmd/dayplan-sessions/main.go:119; cmd/dayplan-sessions/main.go:126; store/effective_sources.go:3; store/effective_sources.go:33; store/effective_sources.go:35; store/effective_sources.go:36; store/effective_sources.go:37; +6 more,per-session entry cap via MaxTradesFor (live NY 10 · ASIA 7 · LONDON 10; 0 = no entries that session),yes,LIVE
day_plan.sessions.min_grade,strategy,store/strategy.go:1196,*string,(zero),Studio session override block,(absent → code default),default,api/handler_plan.go:2649; cmd/dayplan-sessions/main.go:104; cmd/dayplan-sessions/main.go:105; cmd/dayplan-sessions/main.go:112; kernel/engine_analysis.go:427; kernel/engine_analysis.go:497; kernel/one_setup.go:30; kernel/one_setup.go:33; +18 more; ,strategy field (day_plan.sessions.min_grade),yes,LIVE
day_plan.sessions.min_scenario_quality,strategy,store/strategy.go:1200,*string,(zero),Studio session override block,(absent → code default),default,kernel/engine.go:148; kernel/engine_position.go:300; kernel/engine_position.go:301; kernel/transition.go:58; kernel/transition.go:63; store/effective_sources.go:3; store/effective_sources.go:11; store/effective_sources.go:13; +19 more,strategy field (day_plan.sessions.min_scenario_quality),yes,LIVE
day_plan.sessions.plan_mode,strategy,store/strategy.go:1194,*string,(zero),Studio session override block,(absent → code default),default,api/config_resolved.go:113; api/config_resolved.go:114; api/handler_plan.go:194; kernel/engine.go:345; kernel/golden_selfcheck.go:92; store/resolve_source.go:9; store/resolve_source.go:165; store/resolve_source.go:166; +16 more; ,strategy field (day_plan.sessions.plan_mode),yes,LIVE
day_plan.sessions.replan_cap,strategy,store/strategy.go:1193,*int,(zero),Studio session override block,(absent → code default),default,api/handler_plan.go:195; manager/trader_manager.go:610; store/resolve_source.go:61; store/resolve_source.go:63; store/resolve_source.go:132; store/resolve_source.go:133; store/resolve_source.go:134; store/resolve_source.go:136; +36 more; ,W1 (f) 2026-09-23: the old cite auto_trader_reset.go:112 was SetResetBaseline — not a reader of the cap.,yes,LIVE
day_plan.sessions.session,strategy,store/strategy.go:1191,string,"""""",Studio session override block,(absent → code default),default,agent/active_session.go:13; agent/active_session.go:57; agent/active_session.go:117; agent/execution_state.go:35; agent/execution_state.go:251; agent/execution_state.go:350; agent/execution_state.go:368; agent/execution_state.go:394; +716 more; ,strategy field (day_plan.sessions.session),yes,LIVE
day_plan.sessions_enabled,strategy,store/strategy.go:1069,[]string,[],Studio control (DayPlanEditor / strategy row selector),"[""NY""]",O,trader/auto_trader_planconfig.go:77,"top-level session subset (live [NY]) — OVERRIDDEN per-session, CONFLICT (P2-6)","no (Studio only, no guide)",CONFLICT
day_plan.structural_stop,strategy,store/strategy.go:966,*StructuralStopConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
day_plan.structural_stop.buffer_points,strategy,store/structural_geometry.go:12,*float64,(zero),no control,(absent → code default),default,docs/superpowers/reports/2026-09-12-structural-stop/harness/sweep.go:84; store/structural_geometry.go:17; store/structural_geometry.go:35; store/structural_geometry.go:47; store/structural_geometry.go:48; store/structural_geometry.go:49; trader/effective_settings.go:913; trader/effective_settings.go:915; +5 more; ,Research buffer beyond frozen zone; missing uncalibrated value refuses.,"no (Studio only, no guide)",LIVE
day_plan.structural_stop.round_trip_cost_points,strategy,store/structural_geometry.go:13,*float64,(zero),no control,(absent → code default),default,store/structural_geometry.go:54; store/structural_geometry.go:55; store/structural_geometry.go:56; store/structural_geometry.go:ResolveStructuralStop; trader/structural_geometry.go:ComposeLevelFadeGeometry,Point costs for complete round trip; baseline owner research assumption 2 points.,"n/a (no Studio control, no guide)",LIVE
day_plan.structure_map,strategy,store/strategy.go:1009,*bool,(zero),no control (folded),true,O,kernel/plan_doc.go:377; kernel/plan_doc.go:1129; kernel/planner_prompt.go:83; kernel/structure_map.go:26; kernel/structure_map.go:27; kernel/structure_map.go:62; kernel/structure_map.go:63; kernel/structure_map.go:112; +14 more; ,folded; stored true honoured (structure map section),n/a (folded knob),SHADOWED
day_plan.t1_currencies,strategy,store/strategy.go:1055,[]string,"[""USD""]",Studio control (DayPlanEditor / strategy row selector),(absent → code default),default,kernel/planner_prompt.go:27; kernel/planner_prompt.go:29; kernel/planner_prompt.go:32; kernel/planner_prompt.go:671; manager/trader_manager.go:622; store/strategy.go:1048; store/strategy.go:1764; store/strategy.go:1769; +16 more; ,T1 red-news hard-block currencies (default [USD]),yes,LIVE
day_plan.wake_min_interval_min,strategy,store/strategy.go:1111,int,"30 (const, folded)",no control (folded),(absent → code default),default,store/strategy.go:1108; store/strategy.go:1662; store/strategy.go:1663; store/strategy.go:1664; store/strategy.go:1667; store/strategy.go:1724; store/strategy.go:1725; trader/auto_trader_planner.go:882; +12 more; ,folded knob — registry note: W-KNOB-PRUNE 2026-09-18: constant 30 unless stored; control removed. Consumers r,n/a (folded knob),SHADOWED
day_plan.wake_on_15m_zone,strategy,store/strategy.go:1103,*bool,(zero),no control (folded),(absent → code default),default,store/strategy.go:1632; store/strategy.go:1649; trader/auto_trader_wake_levels.go:103,"folded knob — registry note: W-KNOB-PRUNE 2026-09-18: LEGACY per-class switch, collapsed into wake_on_level_e",n/a (folded knob),SHADOWED
day_plan.wake_on_htf_ob,strategy,store/strategy.go:1105,bool,false,no control (folded),true,O,store/strategy.go:1632; store/strategy.go:1649; store/strategy.go:1659; store/strategy.go:1735; trader/auto_trader_wake_levels.go:147; trader/auto_trader_wake_levels.go:103,folded BUT keeps own effect: HTF OB wake class runs only when stored true (P2-5),n/a (folded knob),SHADOWED
day_plan.wake_on_htf_zone,strategy,store/strategy.go:1104,*bool,(zero),no control (folded),(absent → code default),default,store/strategy.go:1632; store/strategy.go:1649; trader/auto_trader_wake_levels.go:103,"folded knob — registry note: W-KNOB-PRUNE 2026-09-18: LEGACY per-class switch, collapsed into wake_on_level_e",n/a (folded knob),SHADOWED
day_plan.wake_on_ifvg,strategy,store/strategy.go:1107,*bool,(zero),no control (folded),(absent → code default),default,store/strategy.go:1633; store/strategy.go:1650; trader/auto_trader_wake_levels.go:103,"folded knob — registry note: W-KNOB-PRUNE 2026-09-18: LEGACY per-class switch, collapsed into wake_on_level_e",n/a (folded knob),SHADOWED
